,Action,Expected Result,Android,Android Notes,iOS,iOS Notes,Web
,1-Signup page is already opened,,,,,,
1,Register using valid admin credentials,,,,,,
1.1,Click on Admin radio button,The Admin button is selected,Ready to Test,,Ready to Test,,Ready to Test
1.2,Enter a valid admin username,The place holder is removed and username is entered succesfully,Ready to Test,,Ready to Test,,Ready to Test
1.3,Enter a valid email,The place holder is removed and email is entered succesfully,Ready to Test,,Ready to Test,,Ready to Test
1.4,Enter a valid password,"-The place holder is removed and password is entered succesfully
-The password id encripted(****) or (......)",Ready to Test,,Ready to Test,,
1.5,Click on Sign-up button,"-Sign-up is succesfull
-User is redirected to the main page
-A verification email is sent to the user",Ready to Test,,Ready to Test,,
2,Register using valid Project Owner credentials,,,,,,
2.1,Click on Admin radio button,The Project Owner button is selected,Ready to Test,,Ready to Test,,Ready to Test
2.2,Enter a valid Project Owner username,The place holder is removed and username is entered succesfully,Ready to Test,,Ready to Test,,Ready to Test
2.3,Enter a valid Project Owner email,The place holder is removed and email is entered succesfully,Ready to Test,,Ready to Test,,Ready to Test
2.4,Enter a valid Project Owner password,"-The place holder is removed and password is entered succesfully
-The password id encripted(****) or (......)",Ready to Test,,Ready to Test,,
2.5,Click on Sign-up button,"-Sign-up is succesfull
-User is redirected to the main page
-A verification email is sent to the user",Ready to Test,,Ready to Test,,
3,Register using valid Facebook user (who has an email),,,,,,
3.1,Click on Facebook icon,User is redirectet to Facebook to register using it,Ready to Test,,Ready to Test,,Ready to Test
3.2,Login to Facebook( when redirected to it),"-User is return to the application
-Sign-up is succesfull
-User is redirected to the home page",Ready to Test,,Ready to Test,,Ready to Test
4,Register using valid Facebook user (who registred to Facebook using a phone number),,,,,,
4.1,Click on Facebook icon,User is redirectet to Facebook to register using it,Ready to Test,,Ready to Test,,Ready to Test
4.2,Login to Facebook( when redirected to it),"-User is returned to the application
-User is asked to add an email address",Ready to Test,,Ready to Test,,Ready to Test
4.3,Enter a valid email,The place holder is removed and email is entered succesfully,Ready to Test,,Ready to Test,,Ready to Test
4.4,Enter a valid password ,"-The place holder is removed and password is entered succesfully
-The password id encripted(****) or (......)",Ready to Test,,Ready to Test,,Ready to Test
4.5,Click on sigh-up button,"-Sign-up is succesfull
-User is redirected to the main page
-A verification email is sent to the user",Ready to Test,,Ready to Test,,
5,Register using valid Google account		,,,,,,
5.1,Click on Google icon,User is redirectet to Google account page,Ready to Test,,Ready to Test,,Ready to Test
5.2,Choose an account,"-User is returned to the application
-Registration is done succesfully
-User is redirected to home page",Ready to Test,,Ready to Test,,
6,Sign-up without choosing type of user,,,,,,
6.1,Do not choose any user,,Ready to Test,,Ready to Test,,
6.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
6.3,Click on sign-up button,The error message appears telling that user must choose the type of user,Ready to Test,,Ready to Test,,
7,Sign-up with invalid user name,,,,,,
7.1,Fill the username field with invalid user name(one character-A),,Ready to Test,,Ready to Test,,
7.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
7.3,Click on sign-up button,"The error massege appears telling the user to fill the username 
with valid name at least two characters",Ready to Test,,Ready to Test,,
8,Sign-up with already used username,,,,,,
8.1,Fill the usename with already used username,,Ready to Test,,Ready to Test,,
8.2,Fill the other fields with valid data,,Ready to Test,,Ready to Test,,
8.3,Click on sign-up button,"The error massege appears telling the user that the username
 already taken",Ready to Test,,Ready to Test,,
9,Sigh-up with a very long username,,,,,,
